,model,architecture,num_param,accuracy,precision,recall
39,attack-1-a2-conv-17.pth,a2,15704,0.575,0.5428571428571428,0.6063829787234043
40,attack-1-a2-conv-18.pth,a2,15704,0.585,0.5604395604395604,0.5425531914893617
41,attack-1-a2-conv-19.pth,a2,15704,0.6,0.5714285714285714,0.5957446808510638
42,attack-1-a2-conv-2.pth,a2,15704,0.565,0.5346534653465347,0.574468085106383
43,attack-1-a2-conv-20.pth,a2,15704,0.565,0.5466666666666666,0.43617021276595747
44,attack-1-a2-conv-21.pth,a2,15704,0.585,0.5567010309278351,0.574468085106383
45,attack-1-a2-conv-22.pth,a2,15704,0.58,0.5531914893617021,0.5531914893617021
46,attack-1-a2-conv-23.pth,a2,15704,0.575,0.5463917525773195,0.5638297872340425
47,attack-1-a2-conv-24.pth,a2,15704,0.58,0.5531914893617021,0.5531914893617021
48,attack-1-a2-conv-25.pth,a2,15704,0.585,0.5591397849462365,0.5531914893617021
49,attack-1-a2-conv-26.pth,a2,15704,0.56,0.5288461538461539,0.5851063829787234
50,attack-1-a2-conv-27.pth,a2,15704,0.58,0.5555555555555556,0.5319148936170213
51,attack-1-a2-conv-28.pth,a2,15704,0.565,0.5339805825242718,0.5851063829787234
52,attack-1-a2-conv-29.pth,a2,15704,0.58,0.5543478260869565,0.5425531914893617
53,attack-1-a2-conv-3.pth,a2,15704,0.585,0.5604395604395604,0.5425531914893617
54,attack-1-a2-conv-4.pth,a2,15704,0.58,0.5520833333333334,0.5638297872340425
55,attack-1-a2-conv-5.pth,a2,15704,0.59,0.5666666666666667,0.5425531914893617
56,attack-1-a2-conv-6.pth,a2,15704,0.58,0.5568181818181818,0.5212765957446809
57,attack-1-a2-conv-7.pth,a2,15704,0.585,0.5567010309278351,0.574468085106383
58,attack-1-a2-conv-8.pth,a2,15704,0.575,0.5494505494505495,0.5319148936170213
59,attack-1-a2-conv-9.pth,a2,15704,0.58,0.5490196078431373,0.5957446808510638
60,attack-1-a3-conv-0.pth,a3,15704,0.605,0.6133333333333333,0.4791666666666667
61,attack-1-a3-conv-1.pth,a3,15704,0.62,0.6282051282051282,0.5104166666666666
62,attack-1-a3-conv-10.pth,a3,15704,0.615,0.6301369863013698,0.4791666666666667
63,attack-1-a3-conv-11.pth,a3,15704,0.605,0.6,0.53125
64,attack-1-a3-conv-12.pth,a3,15704,0.6,0.6025641025641025,0.4895833333333333
65,attack-1-a3-conv-13.pth,a3,15704,0.605,0.6164383561643836,0.46875
66,attack-1-a3-conv-14.pth,a3,15704,0.61,0.6216216216216216,0.4791666666666667
67,attack-1-a3-conv-15.pth,a3,15704,0.585,0.5802469135802469,0.4895833333333333
68,attack-1-a3-conv-16.pth,a3,15704,0.64,0.6304347826086957,0.6041666666666666
69,attack-1-a3-conv-17.pth,a3,15704,0.62,0.6086956521739131,0.5833333333333334
70,attack-1-a3-conv-18.pth,a3,15704,0.615,0.6067415730337079,0.5625
71,attack-1-a3-conv-19.pth,a3,15704,0.6,0.5930232558139535,0.53125
72,attack-1-a3-conv-2.pth,a3,15704,0.605,0.6075949367088608,0.5
73,attack-1-a3-conv-20.pth,a3,15704,0.615,0.620253164556962,0.5104166666666666
74,attack-1-a3-conv-21.pth,a3,15704,0.615,0.6233766233766234,0.5
75,attack-1-a3-conv-22.pth,a3,15704,0.61,0.6216216216216216,0.4791666666666667
76,attack-1-a3-conv-23.pth,a3,15704,0.62,0.631578947368421,0.5
77,attack-1-a3-conv-24.pth,a3,15704,0.615,0.6233766233766234,0.5
78,attack-1-a3-conv-25.pth,a3,15704,0.615,0.620253164556962,0.5104166666666666
79,attack-1-a3-conv-26.pth,a3,15704,0.62,0.6282051282051282,0.5104166666666666
80,attack-1-a3-conv-27.pth,a3,15704,0.585,0.5866666666666667,0.4583333333333333
81,attack-1-a3-conv-28.pth,a3,15704,0.615,0.6172839506172839,0.5208333333333334
82,attack-1-a3-conv-29.pth,a3,15704,0.61,0.6022727272727273,0.5520833333333334
83,attack-1-a3-conv-3.pth,a3,15704,0.61,0.618421052631579,0.4895833333333333
84,attack-1-a3-conv-4.pth,a3,15704,0.61,0.618421052631579,0.4895833333333333
85,attack-1-a3-conv-5.pth,a3,15704,0.61,0.59375,0.59375
86,attack-1-a3-conv-6.pth,a3,15704,0.605,0.6164383561643836,0.46875
87,attack-1-a3-conv-7.pth,a3,15704,0.615,0.620253164556962,0.5104166666666666
88,attack-1-a3-conv-8.pth,a3,15704,0.59,0.5833333333333334,0.5104166666666666
89,attack-1-a3-conv-9.pth,a3,15704,0.61,0.6071428571428571,0.53125
90,attack-1-a4-conv-0.pth,a4,2872,0.48,0.4583333333333333,0.4583333333333333
91,attack-1-a4-conv-1.pth,a4,2872,0.47,0.45,0.46875
92,attack-1-a4-conv-10.pth,a4,2872,0.49,0.4666666666666667,0.4375
93,attack-1-a4-conv-11.pth,a4,2872,0.495,0.4752475247524752,0.5
94,attack-1-a4-conv-12.pth,a4,2872,0.475,0.45161290322580644,0.4375
95,attack-1-a4-conv-13.pth,a4,2872,0.475,0.4482758620689655,0.40625
96,attack-1-a4-conv-14.pth,a4,2872,0.495,0.4752475247524752,0.5
97,attack-1-a4-conv-15.pth,a4,2872,0.465,0.43529411764705883,0.3854166666666667
98,attack-1-a4-conv-16.pth,a4,2872,0.48,0.4574468085106383,0.4479166666666667
99,attack-1-a4-conv-17.pth,a4,2872,0.465,0.43820224719101125,0.40625
100,attack-1-a4-conv-18.pth,a4,2872,0.48,0.45121951219512196,0.3854166666666667
101,attack-1-a4-conv-19.pth,a4,2872,0.485,0.4666666666666667,0.5104166666666666
102,attack-1-a4-conv-2.pth,a4,2872,0.48,0.45555555555555555,0.4270833333333333
103,attack-1-a4-conv-20.pth,a4,2872,0.465,0.44554455445544555,0.46875
104,attack-1-a4-conv-21.pth,a4,2872,0.48,0.46078431372549017,0.4895833333333333
105,attack-1-a4-conv-22.pth,a4,2872,0.495,0.47191011235955055,0.4375
106,attack-1-a4-conv-23.pth,a4,2872,0.495,0.4742268041237113,0.4791666666666667
107,attack-1-a4-conv-24.pth,a4,2872,0.475,0.45263157894736844,0.4479166666666667
108,attack-1-a4-conv-25.pth,a4,2872,0.495,0.4742268041237113,0.4791666666666667
109,attack-1-a4-conv-26.pth,a4,2872,0.47,0.45098039215686275,0.4791666666666667
110,attack-1-a4-conv-27.pth,a4,2872,0.49,0.4716981132075472,0.5208333333333334
111,attack-1-a4-conv-28.pth,a4,2872,0.505,0.4857142857142857,0.53125
112,attack-1-a4-conv-29.pth,a4,2872,0.47,0.4431818181818182,0.40625
113,attack-1-a4-conv-3.pth,a4,2872,0.495,0.4725274725274725,0.4479166666666667
114,attack-1-a4-conv-4.pth,a4,2872,0.485,0.46153846153846156,0.4375
115,attack-1-a4-conv-5.pth,a4,2872,0.495,0.4752475247524752,0.5
116,attack-1-a4-conv-6.pth,a4,2872,0.475,0.45263157894736844,0.4479166666666667
117,attack-1-a4-conv-7.pth,a4,2872,0.485,0.46534653465346537,0.4895833333333333
118,attack-1-a4-conv-8.pth,a4,2872,0.49,0.4727272727272727,0.5416666666666666
119,attack-1-a4-conv-9.pth,a4,2872,0.48,0.4574468085106383,0.4479166666666667
120,attack-1-a5-conv-0.pth,a5,2872,0.55,0.5454545454545454,0.4897959183673469
121,attack-1-a5-conv-1.pth,a5,2872,0.535,0.5316455696202531,0.42857142857142855
122,attack-1-a5-conv-10.pth,a5,2872,0.54,0.5348837209302325,0.46938775510204084
123,attack-1-a5-conv-11.pth,a5,2872,0.515,0.5053763440860215,0.47959183673469385
124,attack-1-a5-conv-12.pth,a5,2872,0.51,0.5,0.4387755102040816
125,attack-1-a5-conv-13.pth,a5,2872,0.53,0.5192307692307693,0.5510204081632653
126,attack-1-a5-conv-14.pth,a5,2872,0.525,0.5164835164835165,0.47959183673469385
127,attack-1-a5-conv-15.pth,a5,2872,0.53,0.5232558139534884,0.45918367346938777
128,attack-1-a5-conv-16.pth,a5,2872,0.51,0.5,0.5204081632653061
129,attack-1-a5-conv-17.pth,a5,2872,0.52,0.5119047619047619,0.4387755102040816
130,attack-1-a5-conv-18.pth,a5,2872,0.55,0.5384615384615384,0.5714285714285714
131,attack-1-a5-conv-19.pth,a5,2872,0.53,0.525,0.42857142857142855
132,attack-1-a5-conv-2.pth,a5,2872,0.525,0.5176470588235295,0.4489795918367347
133,attack-1-a5-conv-20.pth,a5,2872,0.54,0.5348837209302325,0.46938775510204084
134,attack-1-a5-conv-21.pth,a5,2872,0.535,0.5294117647058824,0.45918367346938777
135,attack-1-a5-conv-22.pth,a5,2872,0.54,0.5340909090909091,0.47959183673469385
136,attack-1-a5-conv-23.pth,a5,2872,0.545,0.5384615384615384,0.5
137,attack-1-a5-conv-24.pth,a5,2872,0.525,0.5189873417721519,0.41836734693877553
138,attack-1-a5-conv-25.pth,a5,2872,0.52,0.5113636363636364,0.45918367346938777
139,attack-1-a5-conv-26.pth,a5,2872,0.54,0.5319148936170213,0.5102040816326531
140,attack-1-a5-conv-27.pth,a5,2872,0.54,0.53125,0.5204081632653061
141,attack-1-a5-conv-28.pth,a5,2872,0.545,0.5353535353535354,0.5408163265306123
142,attack-1-a5-conv-29.pth,a5,2872,0.535,0.5287356321839081,0.46938775510204084
143,attack-1-a5-conv-3.pth,a5,2872,0.495,0.4842105263157895,0.46938775510204084
144,attack-1-a5-conv-4.pth,a5,2872,0.53,0.525,0.42857142857142855
145,attack-1-a5-conv-5.pth,a5,2872,0.545,0.5421686746987951,0.45918367346938777
146,attack-1-a5-conv-6.pth,a5,2872,0.515,0.5053763440860215,0.47959183673469385
147,attack-1-a5-conv-7.pth,a5,2872,0.525,0.5176470588235295,0.4489795918367347
148,attack-1-a5-conv-8.pth,a5,2872,0.545,0.5411764705882353,0.46938775510204084
149,attack-1-a5-conv-9.pth,a5,2872,0.545,0.5411764705882353,0.46938775510204084
150,attack-1-a6-conv-0.pth,a6,2872,0.5,0.48,0.5
151,attack-1-a6-conv-1.pth,a6,2872,0.485,0.45569620253164556,0.375
152,attack-1-a6-conv-10.pth,a6,2872,0.495,0.47368421052631576,0.46875
