,model,architecture,accuracy,precision,recall
35,1835.pth,a7,0.886,0.919,0.844
36,1836.pth,a7,0.894,0.913,0.869
37,1837.pth,a7,0.901,0.913,0.883
38,1838.pth,a7,0.896,0.920,0.865
39,1839.pth,a7,0.888,0.948,0.819
40,1840.pth,a7,0.893,0.880,0.909
41,1841.pth,a7,0.890,0.878,0.904
42,1842.pth,a7,0.890,0.942,0.829
43,1843.pth,a7,0.880,0.939,0.810
44,1844.pth,a7,0.890,0.893,0.884
45,1845.pth,a7,0.902,0.925,0.874
46,1846.pth,a7,0.858,0.971,0.736
47,1847.pth,a7,0.889,0.895,0.879
48,1848.pth,a7,0.902,0.920,0.879
49,1849.pth,a7,0.895,0.885,0.907
50,1850.pth,a7,0.884,0.851,0.928
51,1851.pth,a7,0.874,0.911,0.825
52,1852.pth,a7,0.899,0.923,0.868
53,1853.pth,a7,0.881,0.881,0.879
54,1854.pth,a7,0.899,0.909,0.884
55,1855.pth,a7,0.895,0.924,0.859
56,1856.pth,a7,0.890,0.902,0.873
57,1857.pth,a7,0.898,0.908,0.883
58,1858.pth,a7,0.884,0.871,0.900
59,1859.pth,a7,0.894,0.921,0.860
60,1860.pth,a7,0.894,0.937,0.843
61,1861.pth,a7,0.883,0.863,0.907
62,1862.pth,a7,0.891,0.928,0.846
63,1863.pth,a7,0.889,0.878,0.902
64,1864.pth,a7,0.897,0.923,0.864
65,1865.pth,a7,0.895,0.914,0.869
66,1866.pth,a7,0.896,0.919,0.865
67,1867.pth,a7,0.887,0.895,0.875
68,1868.pth,a7,0.888,0.909,0.860
69,1869.pth,a7,0.890,0.927,0.844
70,1870.pth,a7,0.883,0.868,0.900
71,1871.pth,a7,0.897,0.935,0.851
72,1872.pth,a7,0.884,0.906,0.854
73,1873.pth,a7,0.890,0.871,0.914
74,1874.pth,a7,0.892,0.950,0.825
75,1875.pth,a7,0.882,0.914,0.841
76,1876.pth,a7,0.867,0.831,0.919
77,1877.pth,a7,0.871,0.946,0.784
78,1878.pth,a7,0.893,0.887,0.898
79,1879.pth,a7,0.876,0.950,0.792
80,1880.pth,a7,0.886,0.943,0.820
81,1881.pth,a7,0.893,0.910,0.870
82,1882.pth,a7,0.896,0.919,0.866
83,1883.pth,a7,0.869,0.842,0.906
84,1884.pth,a7,0.855,0.816,0.912
85,1885.pth,a7,0.902,0.921,0.876
86,1886.pth,a7,0.890,0.904,0.870
87,1887.pth,a7,0.893,0.877,0.912
88,1888.pth,a7,0.892,0.892,0.891
89,1889.pth,a7,0.891,0.896,0.882
90,1890.pth,a7,0.887,0.941,0.824
91,1891.pth,a7,0.889,0.908,0.862
92,1892.pth,a7,0.897,0.885,0.910
93,1893.pth,a7,0.892,0.939,0.837
94,1894.pth,a7,0.887,0.951,0.814
95,1895.pth,a7,0.892,0.917,0.860
96,1896.pth,a7,0.882,0.962,0.792
97,1897.pth,a7,0.847,0.964,0.718
98,1898.pth,a7,0.895,0.921,0.861
99,1899.pth,a7,0.898,0.924,0.866
0,12600.pth,a8,0.888,0.919,0.848
1,12601.pth,a8,0.842,0.905,0.759
2,12602.pth,a8,0.875,0.885,0.858
3,12603.pth,a8,0.874,0.896,0.844
4,12604.pth,a8,0.878,0.951,0.795
5,12605.pth,a8,0.875,0.904,0.836
6,12606.pth,a8,0.885,0.933,0.826
7,12607.pth,a8,0.891,0.928,0.846
8,12608.pth,a8,0.882,0.960,0.795
9,12609.pth,a8,0.885,0.924,0.836
10,12610.pth,a8,0.887,0.906,0.860
11,12611.pth,a8,0.877,0.947,0.797
12,12612.pth,a8,0.836,0.841,0.826
13,12613.pth,a8,0.870,0.844,0.904
14,12614.pth,a8,0.887,0.947,0.817
15,12615.pth,a8,0.889,0.949,0.820
16,12616.pth,a8,0.879,0.957,0.791
17,12617.pth,a8,0.878,0.943,0.803
18,12618.pth,a8,0.882,0.905,0.852
19,12619.pth,a8,0.873,0.940,0.794
20,12620.pth,a8,0.896,0.941,0.844
21,12621.pth,a8,0.884,0.950,0.809
22,12622.pth,a8,0.878,0.921,0.824
23,12623.pth,a8,0.880,0.860,0.905
24,12624.pth,a8,0.885,0.948,0.812
25,12625.pth,a8,0.888,0.898,0.875
26,12626.pth,a8,0.888,0.933,0.835
27,12627.pth,a8,0.882,0.947,0.806
28,12628.pth,a8,0.866,0.873,0.854
29,12629.pth,a8,0.888,0.922,0.845
30,12630.pth,a8,0.877,0.876,0.876
31,12631.pth,a8,0.865,0.867,0.860
32,12632.pth,a8,0.883,0.938,0.817
33,12633.pth,a8,0.899,0.912,0.881
34,12634.pth,a8,0.885,0.954,0.808
35,12635.pth,a8,0.875,0.965,0.776
36,12636.pth,a8,0.877,0.953,0.791
37,12637.pth,a8,0.887,0.900,0.868
38,12638.pth,a8,0.888,0.941,0.826
39,12639.pth,a8,0.845,0.922,0.751
40,12640.pth,a8,0.896,0.927,0.858
41,12641.pth,a8,0.867,0.952,0.770
42,12642.pth,a8,0.890,0.936,0.835
43,12643.pth,a8,0.887,0.913,0.853
44,12644.pth,a8,0.898,0.916,0.874
45,12645.pth,a8,0.889,0.942,0.826
46,12647.pth,a8,0.875,0.962,0.779
47,12648.pth,a8,0.878,0.947,0.799
48,12649.pth,a8,0.866,0.962,0.759
49,12650.pth,a8,0.894,0.922,0.859
50,12651.pth,a8,0.893,0.922,0.856
51,12652.pth,a8,0.889,0.914,0.856
52,12653.pth,a8,0.894,0.909,0.874
53,12654.pth,a8,0.867,0.965,0.758
54,12655.pth,a8,0.876,0.915,0.826
55,12656.pth,a8,0.865,0.842,0.894
56,12657.pth,a8,0.894,0.892,0.896
57,12658.pth,a8,0.857,0.889,0.813
58,12659.pth,a8,0.881,0.954,0.798
59,12660.pth,a8,0.862,0.970,0.744
60,12661.pth,a8,0.880,0.854,0.916
61,12662.pth,a8,0.879,0.912,0.836
62,12663.pth,a8,0.883,0.949,0.807
63,12664.pth,a8,0.889,0.898,0.875
64,12665.pth,a8,0.884,0.892,0.872
65,12666.pth,a8,0.895,0.901,0.884
66,12667.pth,a8,0.883,0.894,0.866
67,12668.pth,a8,0.836,0.845,0.820
68,12669.pth,a8,0.892,0.935,0.840
69,12670.pth,a8,0.869,0.957,0.770
70,12671.pth,a8,0.864,0.968,0.750
71,12672.pth,a8,0.892,0.924,0.853
72,12673.pth,a8,0.886,0.948,0.814
73,12674.pth,a8,0.892,0.917,0.860
74,12675.pth,a8,0.849,0.886,0.797
75,12676.pth,a8,0.836,0.962,0.695
76,12677.pth,a8,0.881,0.896,0.861
77,12678.pth,a8,0.888,0.894,0.877
78,12679.pth,a8,0.874,0.874,0.870
79,12680.pth,a8,0.887,0.943,0.822
80,12681.pth,a8,0.894,0.930,0.849
81,12682.pth,a8,0.878,0.956,0.790
82,12683.pth,a8,0.866,0.954,0.766
83,12684.pth,a8,0.778,0.978,0.565
84,12685.pth,a8,0.892,0.871,0.917
85,12686.pth,a8,0.889,0.956,0.813
86,12687.pth,a8,0.872,0.863,0.881
87,12688.pth,a8,0.890,0.901,0.874
88,12689.pth,a8,0.878,0.933,0.811
89,12690.pth,a8,0.879,0.966,0.784
90,12691.pth,a8,0.891,0.925,0.848
91,12692.pth,a8,0.870,0.933,0.795
92,12693.pth,a8,0.878,0.953,0.792
93,12694.pth,a8,0.890,0.896,0.881
94,12695.pth,a8,0.855,0.867,0.835
95,12696.pth,a8,0.887,0.947,0.816
96,12697.pth,a8,0.889,0.945,0.823
97,12698.pth,a8,0.873,0.950,0.784
98,12699.pth,a8,0.890,0.927,0.843
99,12700.pth,a8,0.859,0.944,0.759
0,14400.pth,a9,0.866,0.955,0.765
1,14401.pth,a9,0.871,0.917,0.812
2,14402.pth,a9,0.882,0.945,0.809
3,14403.pth,a9,0.865,0.867,0.858
4,14404.pth,a9,0.890,0.927,0.844
5,14405.pth,a9,0.875,0.883,0.861
6,14406.pth,a9,0.884,0.917,0.842
7,14407.pth,a9,0.863,0.897,0.817
8,14408.pth,a9,0.890,0.890,0.887
9,14409.pth,a9,0.860,0.949,0.758
10,14410.pth,a9,0.869,0.957,0.769
11,14411.pth,a9,0.898,0.932,0.857
12,14412.pth,a9,0.880,0.925,0.824
13,14413.pth,a9,0.881,0.957,0.796
14,14414.pth,a9,0.879,0.916,0.832
15,14415.pth,a9,0.887,0.911,0.855
16,14416.pth,a9,0.884,0.936,0.822
17,14417.pth,a9,0.888,0.946,0.821
18,14418.pth,a9,0.892,0.931,0.844
19,14419.pth,a9,0.878,0.886,0.865
20,14420.pth,a9,0.860,0.953,0.755
21,14421.pth,a9,0.889,0.930,0.838
22,14422.pth,a9,0.866,0.841,0.899
23,14423.pth,a9,0.874,0.954,0.783
24,14424.pth,a9,0.885,0.869,0.903
25,14425.pth,a9,0.871,0.919,0.811
26,14426.pth,a9,0.882,0.871,0.893
27,14427.pth,a9,0.892,0.942,0.832
28,14428.pth,a9,0.888,0.895,0.877
29,14429.pth,a9,0.890,0.914,0.859
30,14430.pth,a9,0.877,0.898,0.849
31,14431.pth,a9,0.864,0.939,0.775
32,14432.pth,a9,0.884,0.939,0.820
33,14433.pth,a9,0.878,0.934,0.811
34,14434.pth,a9,0.863,0.947,0.766
